Reference, Value, Footprint, Datasheet
U3,BEAGLEBONEBLACK,BBB:beagleboneblack_nomount,
SW1,SW_HALT,Buttons_Switches_SMD:SW_SPST_EVQPE1,
SW2,SW_MODE_SEL,Buttons_Switches_SMD:SW_SPST_EVQPE1,
C20,100nF,Capacitors_SMD:C_0603_HandSoldering,
C5,100nF,Capacitors_SMD:C_0603_HandSoldering,
C1,220pF,Capacitors_SMD:C_0603_HandSoldering,
C14,220pF,Capacitors_SMD:C_0603_HandSoldering,
C15,220pF,Capacitors_SMD:C_0603_HandSoldering,
C2,220pF,Capacitors_SMD:C_0603_HandSoldering,
C8,220pF,Capacitors_SMD:C_0603_HandSoldering,
C9,220pF,Capacitors_SMD:C_0603_HandSoldering,
C10,440pF,Capacitors_SMD:C_0603_HandSoldering,
C11,440pF,Capacitors_SMD:C_0603_HandSoldering,
C16,440pF,Capacitors_SMD:C_0603_HandSoldering,
C17,440pF,Capacitors_SMD:C_0603_HandSoldering,
C3,440pF,Capacitors_SMD:C_0603_HandSoldering,
C4,440pF,Capacitors_SMD:C_0603_HandSoldering,
C23,C,Capacitors_SMD:C_0603_HandSoldering,
C24,C,Capacitors_SMD:C_0603_HandSoldering,
U1,MCP6004,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
U2,MCP6004,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
P2,RECEIVER,IDC_header_8pin:IDC_Header_Straight_10pins,
J1,JACK_3P,Lumberg:Lumberg_1503_03,
J2,JACK_3P,Lumberg:Lumberg_1503_03,
J3,JACK_3P,Lumberg:Lumberg_1503_03,
P1,BELA_AINS,Pin_Headers:Pin_Header_Straight_1x10,
P4,BELA_AOUTS,Pin_Headers:Pin_Header_Straight_1x10,
R1,100,Resistors_SMD:R_0603_HandSoldering,
R18,390,Resistors_SMD:R_0603_HandSoldering,
R20,390,Resistors_SMD:R_0603_HandSoldering,
R22,390,Resistors_SMD:R_0603_HandSoldering,
R27,390,Resistors_SMD:R_0603_HandSoldering,
R29,390,Resistors_SMD:R_0603_HandSoldering,
R31,390,Resistors_SMD:R_0603_HandSoldering,
R12,10k,Resistors_SMD:R_0603_HandSoldering,
R2,120k,Resistors_SMD:R_0603_HandSoldering,
R35,12k,Resistors_SMD:R_0603_HandSoldering,
R36,12k,Resistors_SMD:R_0603_HandSoldering,
R37,12k,Resistors_SMD:R_0603_HandSoldering,
R38,12k,Resistors_SMD:R_0603_HandSoldering,
R39,12k,Resistors_SMD:R_0603_HandSoldering,
R40,12k,Resistors_SMD:R_0603_HandSoldering,
R10,28.7k,Resistors_SMD:R_0603_HandSoldering,
R11,28.7k,Resistors_SMD:R_0603_HandSoldering,
R13,28.7k,Resistors_SMD:R_0603_HandSoldering,
R14,28.7k,Resistors_SMD:R_0603_HandSoldering,
R15,28.7k,Resistors_SMD:R_0603_HandSoldering,
R16,28.7k,Resistors_SMD:R_0603_HandSoldering,
R4,28.7k,Resistors_SMD:R_0603_HandSoldering,
R5,28.7k,Resistors_SMD:R_0603_HandSoldering,
R6,28.7k,Resistors_SMD:R_0603_HandSoldering,
R7,28.7k,Resistors_SMD:R_0603_HandSoldering,
R8,28.7k,Resistors_SMD:R_0603_HandSoldering,
R9,28.7k,Resistors_SMD:R_0603_HandSoldering,
R17,2k2,Resistors_SMD:R_0603_HandSoldering,
R19,2k2,Resistors_SMD:R_0603_HandSoldering,
R21,2k2,Resistors_SMD:R_0603_HandSoldering,
R26,2k2,Resistors_SMD:R_0603_HandSoldering,
R28,2k2,Resistors_SMD:R_0603_HandSoldering,
R30,2k2,Resistors_SMD:R_0603_HandSoldering,
R23,3k9,Resistors_SMD:R_0603_HandSoldering,
R24,3k9,Resistors_SMD:R_0603_HandSoldering,
R25,3k9,Resistors_SMD:R_0603_HandSoldering,
R32,3k9,Resistors_SMD:R_0603_HandSoldering,
R33,3k9,Resistors_SMD:R_0603_HandSoldering,
R34,3k9,Resistors_SMD:R_0603_HandSoldering,
R3,68k,Resistors_SMD:R_0603_HandSoldering,
FB1,FILTER,Resistors_SMD:R_0603_HandSoldering,
FB2,FILTER,Resistors_SMD:R_0603_HandSoldering,
C12,1uF,SMD_Packages:SMD-1206_Pol,
C13,1uF,SMD_Packages:SMD-1206_Pol,
C18,1uF,SMD_Packages:SMD-1206_Pol,
C19,1uF,SMD_Packages:SMD-1206_Pol,
C6,1uF,SMD_Packages:SMD-1206_Pol,
C7,1uF,SMD_Packages:SMD-1206_Pol,
C21,CP1,SMD_Packages:SMD-1210_Pol,
C22,CP1,SMD_Packages:SMD-1210_Pol,
U4,OKI_7805,Socket_Strips:Socket_Strip_Angled_1x03,
P5,PWR_OUT,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,
P3,BATTERY,Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_2pol,
